814 10
2 1 8254
3 2 6703
4 1 7781
5 1 3825
6 4 5737
7 6 9874
8 3 9752
9 3 4022
10 8 4700
11 5 2025
12 4 8877
13 7 5505
14 8 9683
15 6 8901
16 9 9438
17 12 3381
18 10 2248
19 3 8128
20 5 6641
21 16 9486
22 7 485
23 17 275
24 21 1676
25 11 8266
26 3 1946
27 9 9692
28 10 8027
29 16 6896
30 9 3870
31 29 2890
32 7 3982
33 30 5556
34 5 7367
35 25 2563
36 15 340
37 1 8298
38 31 407
39 24 3288
40 13 2719
41 22 9038
42 23 964
43 32 5329
44 2 2963
45 39 7441
46 31 6148
47 38 5211
48 28 4886
49 39 4886
50 10 9332
51 43 9547
52 10 8063
53 29 7781
54 6 8589
55 4 6460
56 4 9101
57 21 3266
58 23 2350
59 40 2465
60 15 9543
61 28 5140
62 32 4492
63 38 5779
64 31 2047
65 10 6637
66 36 99
67 8 1428
68 6 2230
69 51 3763
70 42 1168
71 36 1726
72 67 848
73 40 2914
74 60 6757
75 7 5221
76 6 4507
77 7 4277
78 48 2774
79 25 5666
80 72 7759
81 45 5743
82 18 3425
83 28 8832
84 44 3440
85 15 553
86 36 4755
87 63 7931
88 12 7486
89 51 3560
90 27 602
91 59 4830
92 84 4292
93 26 1892
94 3 1653
95 77 279
96 17 2100
97 47 4457
98 3 1292
99 95 6065
100 51 7057
101 77 9780
102 47 8730
103 81 6352
104 63 3069
105 64 3998
106 83 3080
107 13 8978
108 64 9596
109 17 3369
110 105 4248
111 20 7698
112 104 9527
113 66 667
114 42 4711
115 70 4533
116 1 2073
117 103 4821
118 13 2390
119 17 3100
120 110 4065
121 88 9250
122 9 9772
123 31 4878
124 44 1918
125 65 4508
126 98 8221
127 54 2767
128 75 1806
129 75 5691
130 69 3787
131 16 7614
132 120 3360
133 30 7427
134 90 5280
135 56 1951
136 72 8688
137 50 7418
138 61 3421
139 74 9441
140 59 1945
141 43 1878
142 132 9906
143 57 4099
144 97 891
145 60 3927
146 15 701
147 49 5573
148 46 3232
149 72 6586
150 70 223
151 15 1442
152 134 135
153 86 8347
154 16 8484
155 52 1677
156 78 9979
157 97 4086
158 72 3208
159 110 2428
160 130 14
161 81 9649
162 11 5404
163 38 8930
164 157 8765
165 6 9537
166 158 9186
167 62 4830
168 155 9825
169 128 4467
170 76 2035
171 27 9313
172 160 2843
173 149 6141
174 39 1881
175 33 6914
176 97 4284
177 158 2839
178 17 1020
179 57 3467
180 82 8512
181 151 4749
182 173 1136
183 145 1865
184 176 9032
185 99 3646
186 145 7681
187 78 9647
188 167 5337
189 97 8049
190 38 1121
191 25 4102
192 141 7924
193 127 922
194 56 5290
195 168 4238
196 170 727
197 178 2753
198 128 7146
199 180 7227
200 28 6768
201 59 7271
202 122 3867
203 45 1331
204 19 428
205 10 9318
206 95 2957
207 129 8457
208 32 7995
209 128 5218
210 68 2192
211 207 7599
212 31 6127
213 31 415
214 16 3910
215 72 5231
216 29 6577
217 69 7872
218 50 4129
219 142 4430
220 198 8989
221 97 3554
222 6 2160
223 82 1486
224 2 6085
225 167 9793
226 73 9449
227 109 2495
228 109 9192
229 133 8041
230 119 3213
231 21 9956
232 141 3098
233 96 2878
234 176 2455
235 31 1503
236 23 8390
237 217 7416
238 156 5230
239 140 9929
240 189 843
241 49 4845
242 130 4855
243 169 9191
244 162 9995
245 232 5974
246 192 8622
247 43 7724
248 112 3371
249 141 1365
250 56 7731
251 89 3586
252 189 567
253 30 4144
254 228 5198
255 95 355
256 204 4626
257 159 1599
258 251 3766
259 101 2339
260 220 8849
261 110 7200
262 217 5755
263 144 3086
264 30 9206
265 68 9300
266 237 5589
267 122 9412
268 188 2912
269 98 2506
270 231 6478
271 135 4197
272 223 3547
273 191 7297
274 5 1944
275 182 2492
276 262 712
277 242 7085
278 213 6193
279 150 9859
280 45 4336
281 153 3150
282 141 1537
283 100 2115
284 98 9708
285 124 4068
286 77 2906
287 18 9026
288 275 5523
289 120 4316
290 171 4686
291 180 8996
292 208 7749
293 204 4454
294 105 8299
295 234 3556
296 103 8612
297 157 3001
298 188 9404
299 266 3667
300 258 6708
301 84 7047
302 49 139
303 93 4563
304 105 8533
305 283 5545
306 75 7800
307 47 4909
308 27 1567
309 167 672
310 196 7389
311 245 8226
312 112 4272
313 123 4297
314 166 8503
315 53 4938
316 166 6438
317 148 2736
318 94 4742
319 124 1844
320 319 2984
321 27 3861
322 218 2242
323 260 3083
324 171 4739
325 40 1633
326 72 9460
327 200 4778
328 24 8259
329 104 1208
330 284 3699
331 162 8232
332 37 1555
333 8 2664
334 19 1282
335 79 5952
336 61 1863
337 88 9931
338 168 4164
339 207 1107
340 179 3170
341 280 2587
342 307 8818
343 37 7556
344 281 434
345 93 2925
346 38 5964
347 276 4490
348 143 3748
349 187 4252
350 125 6734
351 86 6987
352 257 2717
353 228 3844
354 114 8440
355 83 3892
356 264 465
357 280 3397
358 167 4827
359 314 5852
360 235 6998
361 184 9228
362 302 5294
363 197 1139
364 254 9165
365 244 597
366 114 8229
367 241 8507
368 257 9422
369 59 3373
370 329 3098
371 134 6470
372 207 8058
373 207 1221
374 96 2375
375 364 5983
376 159 6021
377 184 3886
378 310 2626
379 109 5503
380 251 4625
381 357 9030
382 130 46
383 108 7924
384 60 4192
385 257 3266
386 13 9199
387 201 1038
388 75 1292
389 251 6726
390 103 8257
391 350 9282
392 373 9967
393 233 6067
394 58 5009
395 166 6797
396 114 7599
397 125 3351
398 327 6525
399 111 8796
400 230 8782
401 392 9706
402 387 9564
403 379 7108
404 239 2546
405 93 7154
406 62 8472
407 94 2377
408 142 2748
409 58 3429
410 308 1104
411 127 7751
412 386 5517
413 95 532
414 216 1837
415 110 1222
416 206 869
417 176 8218
418 93 4056
419 301 161
420 6 9538
421 156 3939
422 77 8849
423 120 1543
424 48 9784
425 154 5223
