365 10
2 1 7122
3 2 2421
4 3 6544
5 1 6835
6 4 2014
7 3 5377
8 6 657
9 7 3265
10 1 4922
11 4 7679
12 6 7038
13 8 8761
14 13 4606
15 5 2989
16 5 2562
17 10 6096
18 9 2638
19 2 1980
20 10 4541
21 18 2302
22 10 2971
23 11 1143
24 2 5850
25 17 1636
26 23 110
27 15 564
28 2 9387
29 15 9040
30 16 7925
31 23 2647
32 19 1558
33 17 5470
34 16 9428
35 21 6234
36 11 5792
37 18 5358
38 15 6008
39 8 4361
40 21 1816
41 26 606
42 38 296
43 15 9109
44 27 492
45 5 4289
46 34 4702
47 41 7517
48 44 6561
49 24 2486
50 36 7722
51 49 6637
52 33 3555
53 32 1980
54 21 7235
55 53 5900
56 13 8316
57 6 8625
58 1 6088
59 5 4367
60 40 8296
61 15 3648
62 34 9900
63 57 8135
64 32 6368
65 10 7124
66 55 8819
67 38 8370
68 22 1907
69 44 3148
70 12 1641
71 33 794
72 2 9358
73 14 6614
74 43 4494
75 70 16
76 71 8470
77 12 331
78 70 423
79 42 9539
80 5 4697
81 39 6727
82 46 2569
83 30 8117
84 83 9411
85 32 1161
86 10 3662
87 35 3421
88 22 3991
89 25 5859
90 44 6710
91 25 5307
92 49 3546
93 16 196
94 38 2715
95 54 491
96 69 4349
97 4 7804
98 42 7962
99 46 2115
100 71 1403
101 12 7220
102 57 2473
103 36 3807
104 103 9555
105 40 7128
106 94 5173
107 74 5301
108 96 8732
109 67 8900
110 51 6464
111 62 3578
112 12 4161
113 39 6090
114 98 7490
115 95 9996
116 55 422
117 86 1284
118 103 2376
119 1 5083
120 6 6656
121 49 3556
122 69 9212
123 57 8298
124 114 4672
125 122 513
126 21 3151
127 29 6637
128 104 1828
129 88 9518
130 79 9847
131 4 9842
132 112 9481
133 86 6620
134 22 4625
135 48 1500
136 58 468
137 74 150
138 30 7126
139 52 7184
140 25 2292
141 20 6827
142 18 3228
143 99 2969
144 95 848
145 90 1861
146 133 1916
147 76 7247
148 104 2514
149 144 1514
150 9 9269
151 9 1194
152 15 9764
153 46 5609
154 40 1321
155 107 9909
156 125 6922
157 107 7697
158 58 1206
159 124 5836
160 9 1434
161 86 8802
162 53 8335
163 136 2417
164 93 1384
165 135 1930
166 105 842
167 69 5565
168 45 4656
169 38 7657
170 140 5739
171 164 8541
172 171 8683
173 24 5912
174 18 7562
175 24 113
176 155 5668
177 45 2654
178 120 5603
179 66 6837
180 176 9452
181 69 760
182 156 4942
183 30 2004
184 45 7233
185 16 631
186 181 9125
187 145 555
188 184 6579
189 41 2301
190 159 3252
191 114 7268
192 129 6677
193 21 3307
194 186 185
195 97 2810
196 128 7503
197 48 6852
198 157 2971
199 48 6791
200 149 8648
201 58 1573
202 129 7211
203 38 4511
204 161 829
205 153 5276
206 95 8933
207 91 3716
208 124 3873
209 88 6298
210 16 6609
211 101 6795
212 101 2501
213 43 4795
214 146 3716
215 2 3866
216 166 3972
217 124 7147
218 88 2038
219 17 8943
220 80 3810
221 98 6327
222 1 2482
223 132 417
224 109 3969
225 143 4165
226 217 239
227 66 5356
228 89 7846
229 199 127
230 200 9435
231 43 5795
232 212 3464
233 52 1720
234 70 9499
235 68 4829
236 104 9645
237 224 9175
238 131 9896
239 201 7255
240 29 9156
241 62 834
242 107 1706
243 219 6664
244 34 3120
245 210 9952
246 56 9114
247 165 5274
248 129 879
249 236 3922
250 46 7674
251 130 3438
252 200 4783
253 122 7928
254 247 1047
255 189 4128
256 65 1487
257 168 8610
258 169 1216
259 253 3948
260 178 7519
261 203 1694
262 88 489
263 254 9777
264 26 7582
265 144 3133
266 236 5853
267 35 48
268 55 8140
269 110 6454
270 18 3701
271 22 6354
272 185 8254
273 110 1058
274 27 2481
275 65 3414
276 62 5320
277 241 8095
278 92 2401
279 273 2783
280 220 612
281 101 9860
282 108 1356
283 70 4007
284 218 3055
285 223 4533
286 223 9177
287 113 9873
288 182 2076
289 1 3684
290 71 4403
291 55 2274
292 248 1804
293 29 2903
294 39 5803
295 50 797
296 111 2275
297 76 5383
298 34 2792
299 193 1688
300 34 821
301 140 9150
302 128 4335
303 278 5742
304 7 7962
305 79 8365
306 226 1420
307 136 8856
308 188 1812
309 219 8600
310 287 5714
311 82 8231
312 72 2309
313 47 4341
314 76 9353
315 106 9428
316 251 3963
317 76 7906
318 313 4083
319 79 4832
320 249 4574
321 132 4340
322 133 2069
323 53 1814
324 30 9518
325 253 6274
326 27 6971
327 303 9125
328 318 9723
329 22 9707
330 29 8383
331 267 928
332 25 3422
333 228 436
334 84 1893
335 38 5478
336 60 2391
337 312 6667
338 234 9660
339 181 5063
340 295 4218
341 34 9296
342 238 878
343 26 7916
344 271 3827
345 202 8899
346 29 9579
347 125 533
348 313 8780
349 142 9793
350 310 5687
351 109 9874
352 158 6969
353 272 5167
354 104 931
355 64 2765
356 144 4298
357 63 1829
358 126 5959
359 58 5040
360 209 395
361 38 4718
362 86 608
363 317 2947
364 278 3562
365 76 50
870580 1
526276 1
407940 1
957780 1
415731 1
663192 1
80072 1
573457 1
529536 1
563044 1
