204 10
2 1 5353
3 1 2242
4 3 5206
5 2 1940
6 4 6251
7 6 8708
8 4 7004
9 3 1043
10 5 6597
11 8 2671
12 9 5883
13 1 9253
14 13 9434
15 9 1342
16 3 7569
17 4 8755
18 7 8080
19 7 7226
20 1 183
21 3 1449
22 4 1343
23 18 3635
24 18 6320
25 5 7309
26 17 7542
27 2 5691
28 9 6988
29 9 6657
30 18 5129
31 9 5128
32 7 527
33 9 2822
34 7 1597
35 20 2352
36 35 9592
37 32 9549
38 16 9725
39 20 7171
40 27 4019
41 23 4892
42 31 8122
43 39 4501
44 14 5531
45 31 1507
46 36 3622
47 37 2880
48 27 9017
49 30 6576
50 18 3220
51 40 1901
52 46 8529
53 19 8227
54 53 4923
55 39 4725
56 11 5683
57 18 6483
58 15 6232
59 22 6578
60 43 6003
61 50 1722
62 46 3730
63 32 6099
64 42 5740
65 52 1123
66 23 6168
67 4 228
68 48 7053
69 58 888
70 12 733
71 58 6472
72 50 488
73 55 3983
74 39 6414
75 34 9979
76 23 3557
77 71 9766
78 6 4228
79 8 5799
80 33 2329
81 63 7412
82 36 1323
83 82 3462
84 33 6984
85 74 2059
86 48 2539
87 45 7499
88 70 3725
89 23 5319
90 8 596
91 73 9324
92 4 2032
93 27 2316
94 1 3451
95 86 2935
96 32 3948
97 47 1027
98 93 1369
99 66 3200
100 2 1104
101 41 6557
102 73 1250
103 98 7111
104 26 6098
105 59 4472
106 100 3925
107 34 8165
108 59 3982
109 48 2422
110 21 720
111 23 8146
112 81 9908
113 23 8200
114 1 8541
115 107 8739
116 87 7208
117 55 1993
118 19 5629
119 19 2244
120 61 4320
121 53 8893
122 35 6524
123 79 1001
124 20 729
125 73 6545
126 115 8362
127 111 7856
128 106 4680
129 60 1263
130 22 7502
131 31 851
132 82 3747
133 104 2426
134 10 9659
135 43 9718
136 101 4044
137 108 1096
138 37 3687
139 99 5939
140 130 7111
141 107 2752
142 104 2515
143 7 2292
144 85 3147
145 14 3396
146 36 8379
147 124 1080
148 86 1534
149 58 6537
150 1 27
151 62 8124
152 38 3825
153 81 6062
154 128 5007
155 91 1044
156 109 8050
157 145 1318
158 52 1535
159 34 4704
160 113 2908
161 46 3670
162 135 2499
163 8 9119
164 1 175
165 1 2702
166 87 5360
167 148 6236
168 51 3141
169 9 9273
170 105 3198
171 84 8884
172 83 8614
173 78 761
174 136 9767
175 61 6507
176 141 7397
177 159 814
178 119 5711
179 142 2360
180 11 7789
181 122 4706
182 94 2104
183 108 3586
184 111 6123
185 123 3113
186 45 2371
187 129 4996
188 45 533
189 78 2023
190 105 1750
191 60 1785
192 55 4291
193 190 4276
194 171 5348
195 172 8566
196 105 77
197 101 7966
198 98 6191
199 184 4259
200 149 963
201 97 2655
202 54 6354
203 15 4804
204 5 4502
913821 3
478901 9
734474 20
694206 16
320901 12
925338 10
261454 8
695035 12
318143 17
840845 6
