463 10
2 1 2734
3 1 3834
4 1 5004
5 3 6766
6 5 9050
7 5 2080
8 5 8963
9 8 8587
10 2 3889
11 1 4523
12 7 4474
13 3 7118
14 10 9933
15 8 3352
16 15 9060
17 8 8794
18 15 4937
19 7 4625
20 3 3223
21 2 5712
22 2 1943
23 7 327
24 5 9973
25 22 531
26 11 648
27 1 1955
28 17 613
29 24 9989
30 10 7178
31 24 7349
32 2 150
33 19 5362
34 33 7324
35 29 9636
36 24 1895
37 35 4988
38 26 5506
39 9 7220
40 37 8931
41 29 9617
42 13 8046
43 36 15
44 31 2515
45 11 4887
46 30 6429
47 24 2723
48 31 3823
49 14 8241
50 37 8824
51 2 1501
52 10 8609
53 35 8973
54 45 7646
55 24 5936
56 39 2276
57 19 4745
58 27 2216
59 10 2033
60 46 7469
61 42 9585
62 12 6472
63 46 2920
64 25 4971
65 10 5366
66 48 2451
67 41 9639
68 51 5427
69 10 4891
70 49 3742
71 39 9902
72 71 2219
73 45 7665
74 17 9420
75 65 9618
76 60 7965
77 47 9770
78 74 1775
79 78 31
80 30 1266
81 74 4750
82 14 1903
83 62 8763
84 59 7554
85 26 732
86 69 4720
87 76 6961
88 27 365
89 56 2896
90 69 1641
91 35 2405
92 23 9304
93 90 9545
94 62 310
95 68 9653
96 47 7024
97 32 1219
98 28 3423
99 91 4085
100 90 3900
101 50 5191
102 62 2580
103 6 9774
104 10 7808
105 93 2695
106 7 2841
107 15 9225
108 97 2676
109 71 7408
110 106 7827
111 42 4600
112 9 4767
113 64 8723
114 42 3417
115 39 6651
116 22 7284
117 109 2222
118 12 902
119 16 2586
120 78 5112
121 1 8097
122 57 9043
123 110 9055
124 82 7709
125 52 8262
126 124 6395
127 120 534
128 40 3387
129 4 2651
130 74 4511
131 17 3848
132 86 8862
133 21 4704
134 96 9469
135 81 6666
136 109 1167
137 26 3358
138 41 9961
139 26 1535
140 90 265
141 10 9874
142 33 7397
143 50 5428
144 82 7806
145 132 9564
146 131 186
147 125 5258
148 102 7947
149 145 8981
150 50 8102
151 140 8565
152 114 9021
153 10 6335
154 17 5947
155 123 6833
156 58 1677
157 39 3677
158 94 825
159 113 7825
160 129 7428
161 119 6731
162 52 2580
163 16 1158
164 149 8064
165 65 55
166 25 2008
167 13 9311
168 61 6847
169 62 4232
170 65 5818
171 17 7309
172 93 6685
173 12 851
174 57 4931
175 57 6877
176 30 1101
177 29 1333
178 103 9490
179 125 7172
180 13 9257
181 147 8923
182 148 3159
183 10 2126
