407 10
2 1 9284
3 2 4054
4 2 1231
5 3 849
6 4 1620
7 6 8206
8 5 7368
9 2 9602
10 2 2887
11 8 8753
12 8 3301
13 12 9857
14 6 695
15 4 3814
16 4 7080
17 10 4821
18 6 8635
19 14 3871
20 16 9109
21 16 1461
22 6 4510
23 17 6799
24 15 321
25 16 4788
26 7 6352
27 23 5478
28 20 6202
29 8 9582
30 1 8353
31 28 5858
32 4 7065
33 17 2266
34 2 1015
35 16 3352
36 27 9131
37 1 2130
38 14 2053
39 27 3073
40 3 1043
41 30 1014
42 41 181
43 18 864
44 7 2751
45 22 492
46 41 3006
47 28 2590
48 27 9621
49 48 1949
50 48 6957
51 29 9004
52 1 2965
53 29 9090
54 4 7810
55 43 3693
56 45 6915
57 28 1722
58 48 2577
59 6 2561
60 15 7104
61 52 2821
62 52 2672
63 51 3516
64 8 4301
65 9 9322
66 40 3857
67 34 5541
68 55 7968
69 45 8520
70 56 5056
71 62 9820
72 23 7148
73 54 9170
74 23 251
75 20 4771
76 18 1910
77 63 7235
78 22 3840
79 46 4886
80 64 9438
81 74 8451
82 34 9003
83 43 5267
84 65 9755
85 40 8292
86 14 1670
87 4 6103
88 7 7859
89 5 3030
90 60 105
91 46 3820
92 90 7640
93 77 8436
94 73 3158
95 93 3505
96 22 4390
97 32 3737
98 50 6776
99 35 8394
100 99 1708
101 24 3203
102 39 5687
103 77 4516
104 13 4886
105 63 8481
106 29 7387
107 42 3121
108 29 5954
109 99 697
110 23 8548
111 78 7742
112 64 1099
113 50 4899
114 33 2459
115 82 3385
116 26 2198
117 77 6482
118 84 7203
119 101 5549
120 9 2271
121 42 4298
122 105 7708
123 30 968
124 88 2356
125 15 367
126 93 5997
127 119 3194
128 39 7822
129 55 6202
130 112 9016
131 79 1293
132 24 3557
133 95 1621
134 123 3425
135 63 3547
136 42 4944
137 135 4924
138 101 593
139 65 100
140 108 9765
141 64 4760
142 111 7645
143 118 409
144 46 1873
145 35 2591
146 31 826
147 131 2712
148 119 2509
149 140 8328
150 26 9502
151 127 7244
152 79 8576
153 43 4650
154 141 2147
155 66 2721
156 31 8281
157 9 4273
158 20 482
